"Title","PMID"
"Gambling disorder.","31346179"
"Cognitive-Behavioral Therapy.","29098680"
"Gambling Disorder as an Addictive Disorder and Creative Psychopharmacotherapy.","35354178"
"Treatment of gambling disorder: review of evidence-based aspects for best practice.","34282103"
"Attachment and emotion regulation in substance addictions and behavioral addictions.","29280395"
"Gambling disorder.","35569496"
"Gambling disorder.","35569497"
"Gambling disorder.","31346181"
"Update on Gambling Disorder.","36055734"
"Pathological gambling: addiction or compulsion?","11447568"
"Online Gambling Addiction: the Relationship Between Internet Gambling and Disordered Gambling.","26500834"
"[Gambling addiction].","23529775"
"Disordered gambling: a behavioral addiction.","23375671"
"Gambling addiction.","22209819"
"Disordered gambling: the evolving concept of behavioral addiction.","25336388"
"Gambling Disorder and Stigma: Opportunities for Treatment and Prevention.","36093357"
"Pathological choice: the neuroscience of gambling and gambling addiction.","24198353"
"Introduction to the Gambling Disorder Special Issue.","33373546"
"A biopsychological review of gambling disorder.","28096672"
"Brain Imaging in Gambling Disorder.","26273544"
"Gambling and substance use: Comorbidity and treatment implications.","31881248"
"Pathological Gambling, Gambling Disorder, and Problem Gambling Among the Chinese Ethnic Population Living in Western Countries: Is Culture a Sufficient Explanation for the Reported Excess Rates?","33521910"
"Regulating gambling to prevent addiction: more necessary now than ever.","27399227"
"A review of gambling disorder and substance use disorders.","27051333"
"Similarities and Differences in Diagnostic Criterion.","29098671"
"Impulsivity in Gambling Disorder and problem gambling: a meta-analysis.","30986818"
"Pharmacological Treatments for Disordered Gambling: A Meta-analysis.","30570700"
"[Gambling disorder in Japan].","26394523"
"Gambling harms and gambling disorder research funding.","35717967"
"Risk Factors for Gambling Disorder: A Systematic Review.","36884150"
"Gambling Disorder in Veterans: A Review of the Literature and Implications for Future Research.","29427019"
"Ludens: A Gambling Addiction Prevention Program Based on the Principles of Ethical Gambling.","34424447"
"Gambling disorder - Authors' reply.","35569498"
"The Iowa Gambling Task and the three fallacies of dopamine in gambling disorder.","24115941"
"Decision-making (in)flexibility in gambling disorder.","32890912"
